Root,Root
Customer Quote,Customer Quote
Customer Quotation,Customer Quotation
ID,ID
First Name,First Name
Last Name,Last Name
Email,Email
Signed-up Point,Signed-up Point
Product,Product
SKU,SKU
Select,Select
Quantity,Quantity
Please select a customer,Please select a customer
Create New Quote for %1 in %2,Create New Quote for %1 in %2
Create New Quote in %1,Create New Quote in %1
Create New Quote for %1,Create New Quote for %1
Create New Quote for New Customer,Create New Quote for New Customer
Please select products,Please select products
Please select a store,Please select a store
Delete,Delete
Quote Assign To,Quote Assign To
Customer First Name,Customer First Name
Customer Last Name,Customer Last Name
Quote Requested At,Quote Requested At
Store Views,Store Views
Status,Status
Action,Action
Save Quotation And Continue,Save Quotation And Continue
Delete Quotation,Delete Quotation
Back,Back
Edit Quote,Edit Quote
Print PDF,Print PDF
Quotations,Quotations
Create New Quote,Create New Quote
My Quotations,My Quotations
Quotation,Quotation
Quotes,Quotes
This quote no longer exists,This quote no longer exists
Status Change From,Status Change From
To,To
The Proposal has been sent,The Proposal has been sent
Quote Item does not exist for proposal,Quote Item does not exist for proposal
Please set the shipping address before create order,Please set the shipping address before create order
A quote have been deleted,A quote have been deleted
Quote has been edited succesfully,Quote has been edited succesfully
Manage Quotations,Manage Quotations
Please select quote(s),Please select quote(s)
A total of,A total of
quote(s) have been deleted,quote(s) have been deleted
The Quote has been saved,The Quote has been saved
Please Enter Message,Please Enter Message
Requested Quantity already available For This Product,Requested Quantity already available For This Product
Not allow to access this Quotation,Not allow to access this Quotation
Exception occurred during quote load,Exception occurred during quote load
Quote item id is not received,Quote item id is not received
Quote item is not loaded,Quote item is not loaded
New Quote,New Quote
Successfully log-out from the current quote confirmation mode,Successfully log-out from the current quote confirmation mode
Quotation #,Quotation #
had been rejected,had been rejected
You added %1 to your quotation,You added %1 to your quotation
We can\'t add this item to your quotation right now,We can\'t add this item to your quotation right now
Out of stock,Out of stock
We can't find the quote item,We can't find the quote item
We cannot configure the product,We cannot configure the product
We can\'t remove the item,We can\'t remove the item
Please Enter Message,Please Enter Message
Your quote request generated successfully,Your quote request generated successfully
We can\'t generate the Quote,We can\'t generate the Quote
%1 was updated in your quote,%1 was updated in your quote
We can\'t update the item right now,We can\'t update the item right now
We can\'t update the quote,We can\'t update the quote
We can\'t update the quote items,We can\'t update the quote items
Not allow to access this Quotation,Not allow to access this Quotation
"Quote Request in Process, Please Wait for Price Proposal","Quote Request in Process, Please Wait for Price Proposal"
Quotation does not exist,Quotation does not exist
%1 doesn\'t extend,%1 doesn\'t extend
We can\'t get the quote instance right now,We can\'t get the quote instance right now
Message has been sent,Message has been sent
"We could not add a product to quote by the ID ""%1""","We could not add a product to quote by the ID ""%1"""
